,id,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,beds,amenities,price_in_dollar,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews_l30d,review_scores_rating,instant_bookable,price_per_person,minimum_price,discount_per_5_days_booked,discount_per_10_days_booked,discount_per_30_and_more_days_booked,service_cost,available,five_day_dollar_price
34,307621,0.51,FALSE,Centrum-Oost,52.35871,4.89616,Entire home/apt,2,1,1,7,125,3,21,TRUE,0,0,4.5,FALSE,62.5,375,0.08,0.2,0.18,4.99,0,625
35,308028,0.55,FALSE,Centrum-Oost,52.35972,4.8975,Private room,2,1,1,8,95,3,10,TRUE,0,0,4.77,FALSE,47.5,285,0.06,0.15,0.14,4.99,0,475
36,311124,0.38,FALSE,Centrum-West,52.37104,4.87713,Entire home/apt,2,1,1,10,225,5,15,TRUE,0,1,4.75,FALSE,112.5,1125,0.06,0.13,0.17,4.99,0.868493151,1127.739726
37,327285,0.59,FALSE,De Pijp - Rivierenbuurt,52.35625,4.89323,Private room,4,1,6,15,239,2,30,TRUE,0,4,4.94,TRUE,59.75,478,0.1,0.16,0.18,4.99,0,1250
38,343094,1,FALSE,Oud-Oost,52.35715,4.90926,Private room,2,1,1,4,100,3,30,TRUE,3,4,4.89,TRUE,50,300,0.08,0.15,0.18,4.99,0.345505618,516.7696629
39,367107,0,FALSE,Centrum-Oost,52.36263,4.90216,Entire home/apt,2,1,1,11,182,5,30,TRUE,5,0,5,FALSE,91,910,0.06,0.19,0.2,4.99,0.073972603,910.6164384
40,367491,1,FALSE,De Baarsjes - Oud-West,52.364,4.87814,Entire home/apt,2,1,1,9,174,3,19,TRUE,0,0,4.91,FALSE,87,522,0.08,0.17,0.21,4.99,0,847.2328767
41,379885,0.64,FALSE,De Pijp - Rivierenbuurt,52.35465,4.9061,Private room,2,1,1,13,297,3,-76,TRUE,5,1,4.66,TRUE,148.5,891,0.11,0.13,0.2,4.99,0.221917808,1422.958904
42,396125,0.44,FALSE,Centrum-West,52.37824,4.88532,Private room,2,1,1,1,70,3,14,TRUE,1,0,4.45,FALSE,35,210,0.06,0.09,0.15,2.99,0.002739726,350
43,402353,0.98,FALSE,Watergraafsmeer,52.35338,4.93407,Private room,2,1,1,6,139,2,101,TRUE,2,4,4.85,TRUE,69.5,278,0.06,0.13,0.19,4.99,0,800
44,414865,0,FALSE,Zuid,52.35043,4.84676,Entire home/apt,2,1,1,5,110,4,30,TRUE,2,1,4.88,FALSE,55,440,0.07,0.17,0.18,4.99,0.038356164,561.5616438
45,437757,1,TRUE,De Pijp - Rivierenbuurt,52.35503,4.90516,Entire home/apt,2,1,1,5,145,3,7,TRUE,0,1,4.63,FALSE,72.5,435,0.07,0.16,0.18,4.99,0.005479452,550.9726027
46,438089,1,FALSE,De Baarsjes - Oud-West,52.36116,4.86608,Private room,2,1,1,12,129,4,60,TRUE,2,1,4.78,TRUE,64.5,516,0.07,0.18,0.14,4.99,0.438356164,645
47,440992,0.62,FALSE,Zuid,52.341621,4.849049,Entire home/apt,4,2,2,9,200,3,60,TRUE,2,3,4.87,FALSE,50,600,0.07,0.29,0.25,4.99,0.131506849,1000
